date1,Social Fear and Greed Index
29/08/2018,82.50847305
30/08/2018,57.89582492
31/08/2018,86.06002172
01/09/2018,78.79717447
02/09/2018,12.23304628
03/09/2018,28.15514021
04/09/2018,68.63475845
05/09/2018,14.65831551
06/09/2018,6.108585199
07/09/2018,46.9942046
08/09/2018,43.31549589
09/09/2018,72.14967493
10/09/2018,75.03757753
11/09/2018,39.28140678
12/09/2018,27.72735499
13/09/2018,54.01481599
14/09/2018,45.6909428
15/09/2018,59.97338695
16/09/2018,51.00854012
17/09/2018,27.79468817
18/09/2018,43.96948471
19/09/2018,35.20514909
20/09/2018,68.2109559
21/09/2018,77.06186527
22/09/2018,65.53565105
23/09/2018,72.83338107
24/09/2018,72.94873034
25/09/2018,77.69429288
26/09/2018,74.270369
27/09/2018,63.33614746
28/09/2018,65.47151575
29/09/2018,47.82580698
30/09/2018,47.85781293
01/10/2018,69.62496919
02/10/2018,59.21091579
03/10/2018,37.88323687
04/10/2018,62.92709503
05/10/2018,95.16935872
06/10/2018,98.24417357
07/10/2018,72.55286934
08/10/2018,76.16313579
09/10/2018,62.61807286
10/10/2018,59.02364318
11/10/2018,48.17794502
12/10/2018,69.87265801
13/10/2018,72.23054415
14/10/2018,80.95210134
15/10/2018,67.25957891
16/10/2018,45.98847402
17/10/2018,90.28003085
18/10/2018,95.03349951
19/10/2018,92.54280705
20/10/2018,91.49463104
21/10/2018,89.84496619
22/10/2018,83.60049306
23/10/2018,97.68430407
24/10/2018,99.81799794
25/10/2018,67.28857791
26/10/2018,79.12555986
27/10/2018,60.92240966
28/10/2018,49.25112609
29/10/2018,52.81195988
30/10/2018,81.25270065
31/10/2018,86.71490664
01/11/2018,61.3432937
02/11/2018,47.41519562
03/11/2018,43.79527092
04/11/2018,51.31825195
05/11/2018,38.78293139
06/11/2018,43.04177573
07/11/2018,48.67437457
08/11/2018,60.94811054
09/11/2018,81.3139055
10/11/2018,87.30097195
11/11/2018,58.91430539
12/11/2018,51.70794639
13/11/2018,28.96972192
14/11/2018,0.283024465
15/11/2018,0.088610772
16/11/2018,0.162639169
17/11/2018,0.597971586
18/11/2018,7.122659197
19/11/2018,0.072741213
20/11/2018,0.02146403
21/11/2018,0.061834321
22/11/2018,10.71394043
23/11/2018,6.165409698
24/11/2018,0.3355519
25/11/2018,0.021453193
26/11/2018,0.527094379
27/11/2018,11.31364778
28/11/2018,25.7755269
29/11/2018,12.87438669
30/11/2018,22.79878776
01/12/2018,22.97720602
02/12/2018,17.68064754
03/12/2018,23.92661791
04/12/2018,54.25923175
05/12/2018,35.60857694
06/12/2018,12.40220128
07/12/2018,0.791871575
08/12/2018,6.530388812
09/12/2018,17.47986241
10/12/2018,23.59953711
11/12/2018,20.20265752
12/12/2018,7.577998863
13/12/2018,23.80626339
14/12/2018,6.50656622
15/12/2018,2.59337774
16/12/2018,10.91791848
17/12/2018,67.43823949
18/12/2018,57.64952524
19/12/2018,44.47165004
20/12/2018,47.27127776
21/12/2018,31.45370123
22/12/2018,21.7526696
23/12/2018,32.19901131
24/12/2018,35.51379898
25/12/2018,12.52047549
26/12/2018,32.83531558
27/12/2018,24.16414254
28/12/2018,14.90565422
29/12/2018,69.66241437
30/12/2018,50.51715581
31/12/2018,43.39451386
01/01/2019,72.21258313
02/01/2019,30.67353993
03/01/2019,52.22550092
04/01/2019,64.64372773
05/01/2019,65.32828474
06/01/2019,76.27083308
07/01/2019,43.41558979
08/01/2019,13.11509859
09/01/2019,9.857906032
10/01/2019,6.702522767
11/01/2019,13.75837898
12/01/2019,20.78080368
13/01/2019,13.40224684
14/01/2019,21.5993539
15/01/2019,56.99304196
16/01/2019,44.78397365
17/01/2019,60.24737818
18/01/2019,55.8118917
19/01/2019,89.02843977
20/01/2019,54.44509291
21/01/2019,43.43666759
22/01/2019,72.00111739
23/01/2019,91.58598794
24/01/2019,74.46869202
25/01/2019,83.06858097
26/01/2019,47.21798379
27/01/2019,46.08947401
28/01/2019,81.40727341
29/01/2019,55.01797676
30/01/2019,51.07262403
31/01/2019,40.96396437
01/02/2019,58.34569519
02/02/2019,42.17027397
03/02/2019,38.22499031
04/02/2019,56.25021086
05/02/2019,23.44719878
06/02/2019,2.107304031
07/02/2019,12.23576167
08/02/2019,49.67311516
09/02/2019,59.60557378
10/02/2019,59.00802777
11/02/2019,42.51109267
12/02/2019,55.62155261
13/02/2019,45.96721413
14/02/2019,36.39509921
15/02/2019,29.87879618
16/02/2019,45.27162553
17/02/2019,78.26552118
18/02/2019,93.57059191
19/02/2019,58.6380513
20/02/2019,39.36380111
21/02/2019,16.30901388
22/02/2019,37.2532487
23/02/2019,83.93268114
24/02/2019,26.52918418
25/02/2019,26.23161985
26/02/2019,78.10769975
27/02/2019,42.97339737
28/02/2019,75.39337384
01/03/2019,91.8475642
02/03/2019,99.69028588
03/03/2019,96.80580482
04/03/2019,63.92432567
05/03/2019,94.77270569
06/03/2019,94.92123318
07/03/2019,75.57024653
08/03/2019,79.97271458
09/03/2019,60.73207554
10/03/2019,63.07876919
11/03/2019,71.65299649
12/03/2019,43.81638141
13/03/2019,69.24938907
14/03/2019,58.74234914
15/03/2019,67.21122411
16/03/2019,81.23828153
17/03/2019,53.44571211
18/03/2019,57.14552534
