collectionName,number_of_followers
guild_saga_heroes,22300
monkelabs_dao,26800
magicticket,222200
cyborg_iguanas,5498
monkelabs,26800
lifinity_flares,11000
starbots_robot,62100
portals_citizen_cards,46300
robo_cocks,4274
danger_valley_ducks,38700
balloonsville,4877
the_fellowship,11500
space_runners,155800
monke_crew,4593
lux_real_estate,20000
888_anon_club,212
zilla_vs_kong,53900
the_remnants_,12900
ghostguys_metaforge,8085
solbouncer,2197
zankoku,855
almost_famous_pandas,11000
iconicapeclub3d,13200
aldermages,3890
mary_janes,970
bongheads,448
best_buds,17000
doge_track,7124
metaops,12700
cynova_legacy,15000
taiyo_robotics,18200
sea_shanties,13500
lotus_gang_nft,13800
spp,0
defiland_gen0,102900
solana_hodl_whales,6593
visionary_studios,22300
monkey_kingdom,143200
female_hodl_whales,6593
6rings,2197
generous_robots_dao,25300
aiternate_holotabs,12000
mindfolk,8502
psyker,11600
zoom,25300
project_tenjin,62400
portals,46400
solsteads_surreal_estate,32900
drippies,53000
degens,13500
mongomons,5219
honey_genesis_bee,28700
dazedducks_metagalactic_club,21500
yaku_corp_capsulex,34600
undead_apes,29616
rarikeys,416100
genopets_refined_genotype_crystals,158700
pesky_penguins,52200
solana_monke_rejects,18400
taiyo_infants_incubators,18200
boryoku_dragonz,26900
solana_monkey_business,86200
curedlabs,0
desolates_metaverse,19100
debonair_degen_hawks,82400
genopets,21100
sea_shanties_citizens,13500
bulldog_billionaires,18300
the_suites,18700
yaku_corp,34600
kamakura,6018
degods,56200
degendojonft,19200
cets_on_creck,13900
tamashisoul,4550
grim_syndicate,13600
parcl,21500
tombstoned,25600
decimusdynamics,21700
smokeheads,23800
aurory,187000
atadians,7293
famous_fox_federation,29300
magnum_ai,15600
astrals,29400
bushidosociety,29100
nuked_apes,18
shadowy_super_coder_dao,1762
fellowapes,13100
citizens_by_solsteads,32900
bohemia_,19800
blocksmith_labs,21800
solgods,25300
meerkat_millionaires_country_club,32800
stoned_ape_crew,57000
flamez,18900
creamy_friends,35300
komradz,10400
degenerate_ape_academy,105800
quantum_traders,28400
funguyz,3487
galactic_geckos,36200
enviro,1060
space_robots,5841
stoner_cups,4736
the_vaultx_dao,12800
cosmic_ape_crusaders,12600
the_stone_heads,8663
akari,17800
degenerate_ape_kindergarten,105800
stepn,339100
degenerate_trash_pandas,28600
diamond_town,15500
fadedfoxes,7719
soul_dogs,44700
matuki,11200
thugbirdz,44000
solminator,17900
solana_money_boys,24700
defi_pirates,3220
the_catalina_whale_mixer,16800
